governorate,district
Anbar,Al-Ka'im
Anbar,Al-Rutba
Anbar,Ana
Anbar,Falluja
Anbar,Haditha
Anbar,Heet
Anbar,Ramadi
Anbar,Ra'ua
Babylon,Al-Mahawil
Babylon,Al-Musayab
Babylon,Hashimiya
Babylon,Hilla
Baghdad,Abu Ghraib
Baghdad,Adhamia
Baghdad,Al Resafa
Baghdad,Kadhimia
Baghdad,Karkh
Baghdad,Mada'in
Baghdad,Mahmoudiya
Baghdad,Tarmia
Baghdad,Thawra1
Baghdad,Thawra2
Basrah,Abu Al-Khaseeb
Basrah,Al-Midaina
Basrah,Al-Qurna
Basrah,Al-Zubair
Basrah,Basrah
Basrah,Fao
Basrah,Shatt Al-Arab
Dahuk,Amedi
Dahuk,Dahuk
Dahuk,Sumel
Dahuk,Zakho
Diyala,Al-Khalis
Diyala,Al-Muqdadiya
Diyala,Baladrooz
Diyala,Ba'quba
Diyala,Khanaqin
Diyala,Kifri
Erbil,Choman
Erbil,Erbil
Erbil,Koisnjaq
Erbil,Makhmur
Erbil,Mergasur
Erbil,Shaqlawa
Erbil,Soran
Kerbala,Ain Al-Tamur
Kerbala,Al-Hindiya
Kerbala,Kerbala
Kirkuk,Al-Hawiga
Kirkuk,Dabes
Kirkuk,Daquq
Kirkuk,Kirkuk
Missan,Ali Al-Gharbi
Missan,Al-Kahla
Missan,Al-Maimouna
Missan,Al-Mejar Al-Kabir
Missan,Amara
Missan,Qal'at Saleh
Muthanna,Al-Khidhir
Muthanna,Al-Rumaitha
Muthanna,Al-Samawa
Najaf,Al-Manathera
Najaf,Kufa
Najaf,Najaf
Ninewa,Akre
Ninewa,Al-Hamdaniya
Ninewa,Al-Shikhan
Ninewa,Hatra
Ninewa,Mosul
Ninewa,Sinjar
Ninewa,Telafar
Ninewa,Tilkaif
Qadissiya,Afaq
Qadissiya,Al-Shamiya
Qadissiya,Diwaniya
Qadissiya,Hamza
Salah al-Din,Al-Fares
Salah al-Din,Al-Shirqat
Salah al-Din,Baiji
Salah al-Din,Balad
Salah al-Din,Samarra
Salah al-Din,Tikrit
Salah al-Din,Tooz
Sulaymaniyah,Chamchamal
Sulaymaniyah,Darbandikhan
Sulaymaniyah,Dokan
Sulaymaniyah,Halabja
Sulaymaniyah,Kalar
Sulaymaniyah,Penjwin
Sulaymaniyah,Pshdar
Sulaymaniyah,Rania
Sulaymaniyah,Sharbazher
Sulaymaniyah,Sulaymaniya
Thi-Qar,Al-Chibayish
Thi-Qar,Al-Rifa'i
Thi-Qar,Al-Shatra
Thi-Qar,Nassriya
Thi-Qar,Suq Al-Shoyokh
Wassit,Al-Azezia
Wassit,Al-Hai
Wassit,Al-Na'maniya
Wassit,Al-Suwaira
Wassit,Badra
Wassit,Kut
